"Source","total_arr_sum"
"ZoomInfo","1284000.0"
"Datahug","775280.0"
"SalesLoft","610000.0"
"Google Natural Search","592000.0"
"Website","565000.0"
"Outbound","529000.0"
"Data Vendor","507000.0"
"LeadIQ","386000.0"
"SalesLoft (Prospector)","134000.0"
"Social Ads","128000.0"
"Web","119000.0"
"Events","106000.0"
"Bing Natural Search","78000.0"
"DiscoverOrg","40000.0"
"Outbound SDR","31000.0"
"Inbound SDR","30000.0"
"Google Ad","24000.0"
"Webinar","21000.0"
"Live Chat","16000.0"
"Partner","16000.0"
"linkedin","8000.0"
"Website (Form)","8000.0"
"Phone Inquiry","8000.0"
"G2 Crowd","8000.0"
"Referral","7000.0"
"G2 Crowd - New","4000.0"
"Intercom - Live Chat","2000.0"
"Trade Show","0.0"
"Drift","0.0"
